,song,lyrics
37,Get Back In My Life,"You are relentless, I am defenseless|-|Why did you knock me down tonight|-|You beat me senseless, I just don't get this.|-|How many times do I have to try|-|Your whisper so clear, the world disappears|-|As I fall into the darkness, its impossible to express|-|How good it feels, I'm wrapped up, I'm sealed|-|So tired I'll never be free, all night, don't fight the feeling|-|Get back in my life, come knock on my door|-|You're what I'm looking for, I think you should know|-|You've started a fire, burned me to the floor|-|Please don't resist anymore, I'll never leave you alone|-|Don't reprimand me, you're so demanding|-|But I've got time, I don't mind at all|-|You're picture perfect, completely worth it|-|You've got my back against the wall|-|Your whisper so clear|-|The world disappears|-|As I fall into the darkness, impossible to express|-|How good it feels, I'm wrapped up, I'm sealed|-|So tired I'll never be free, all night don't fight the feeling|-|Get back in my life, come knock on my door|-|You're what I'm looking for, I think you should know|-|You've started a fire, burned me to the floor|-|Please don't resist anymore, I'll never leave you alone|-|And can you hear me calling|-|I'm screaming, scratching, crawling|-|You ignore me cause I'm always coming back to you, coming back to you|-|And you know how much I miss it, and you know I cant resist it|-|See your lips and just come running, right on back to you, right on back to you|-|Get back in my life, come knock on my door|-|You're what I'm looking for, I think you should know|-|You started a fire, burned me to the floor|-|I cant do this anymore, I'll never leave you alone|-|Get back in my life, come knock on my door|-|You're what I'm looking for, I think you should know|-|I'll never leave you alone|-|Get back in my life, come knock on my door|-|You're what I'm looking for, I think you should know|-|Get back in my life, come knock on my door|-|You're what I'm looking for, I think you should know|-|Get back in my life, come knock on my door|-|You're what I'm looking for, I think you should know"
38,Girls Like You,"Spent 24 hours, I need more hours with you|-|You spent the weekend getting even, ooh|-|We spent the late nights making things right between us|-|But now it's all good, babe|-|Roll that back wood, babe|-|And play me close|-|'Cause girls like you run 'round with guys like me|-|'Til sun down when I come through|-|I need a girl like you, yeah yeah|-|Girls like you love fun, and yeah, me too|-|What I want when I come through|-|I need a girl like you, yeah yeah|-|Yeah yeah yeah, yeah yeah yeah|-|I need a girl like you, yeah yeah|-|Yeah yeah yeah, yeah yeah yeah|-|I need a girl like you|-|I spent last night on the last flight to you|-|Took a whole day up tryna get way up, ooh|-|We spent the daylight tryna make things right between us|-|But now it's all good, babe|-|Roll that back wood, babe|-|And play me close|-|'Cause girls like you run 'round with guys like me|-|'Til sun down when I come through|-|I need a girl like you, yeah yeah|-|Girls like you love fun, and yeah, me too|-|What I want when I come through|-|I need a girl like you, yeah yeah|-|Yeah yeah yeah, yeah yeah yeah|-|I need a girl like you, yeah yeah|-|Yeah yeah yeah, yeah yeah yeah|-|I need a girl like you, yeah yeah|-|I need a girl like you, yeah yeah|-|I need a girl like you|-|Maybe it's 6:45|-|Maybe I'm barely alive|-|Maybe you've taken my shit for the last time|-|Maybe I know that I'm drunk|-|Maybe I know you're the one|-|Maybe you're thinking it's better if you drive|-|'Cause girls like you run 'round with guys like me|-|'Til sun down when I come through|-|I need a girl like you, yeah yeah|-|Not too long ago, I was dancing for dollars (eeoow)|-|No, it's really rude if I let you meet my mama (eeoow)|-|You don't want a girl like me I'm too crazy|-|Fore every other girl you meet its fugazy (okurrrt)|-|I'm sure them other girls were nice enough|-|But you need someone to spice it up|-|So who you gonna call? Cardi, Cardi|-|Come and rev it up like a Harley, Harley|-|Why is the best fruit always forbidden?|-|I'm coming to you now doin' 20 over the limit|-|The red light, red light stop, stop (skrrt)|-|I don't play when it comes to my heart (let's get it though)|-|I don't really want a white horse and a carriage|-|I'm thinkin' more of a white Porsches and karats|-|I need you right here 'cause every time you call|-|I play with this kitty like you play with your guitar|-|'Cause girls like you run 'round with guys like me|-|'Til sun down when I come through|-|I need a girl like you, yeah yeah|-|Girls like you love fun, and yeah, me too|-|What I want when I come through|-|I need a girl like you, yeah yeah|-|Yeah yeah yeah, yeah yeah yeah|-|I need a girl like you, yeah yeah|-|Yeah yeah yeah, yeah yeah yeah|-|I need a girl like you"
39,Girls Like You (Remix),"Spent 24 hours, I need more hours with you|-|You spent the weekend getting even, ooh|-|We spent the late nights making things right between us|-|But now it's all good, babe|-|Roll that back wood, babe|-|And play me close|-|'Cause girls like you run 'round with guys like me|-|'Til sun down when I come through|-|I need a girl like you, yeah yeah|-|Girls like you love fun and, yeah, me too|-|What I want when I come through|-|I need a girl like you, yeah yeah|-|Yeah yeah yeah, yeah yeah yeah|-|I need a girl like you, yeah yeah|-|Yeah yeah yeah, yeah yeah yeah|-|I need a girl like you|-|I spent last night on the last flight to you (ey ya)|-|Took a whole day up trying to get way up, ooh|-|We spent the daylight trying to make things right between us|-||-|But now it's all good, babe|-|Roll that back wood, babe|-|And play me close, yeah|-|'Cause girls like you run 'round with guys like me|-|'Til sun down when I come through|-|I need a girl like you, yeah yeah|-|Girls like you love fun and, yeah, me too|-|What I want when I come through|-|I need a girl like you, yeah yeah|-|Yeah yeah yeah, yeah yeah yeah|-|I need a girl like you, yeah yeah|-|Yeah yeah yeah, yeah yeah yeah|-|I need a girl like you, yeah yeah|-|I need a girl like you, yeah yeah|-|I need a girl like you|-|Maybe it's 6:45|-|Maybe I'm barely alive|-|Maybe you've taken my shit for the last time, yeah|-|Maybe I know that I'm drunk|-|Maybe I know you're the one|-|Maybe you thinking it's better if you drive|-||-|Oh, 'cause girls like you run 'round with guys like me|-|'Til sun down when I come through|-|I need a girl like you, yeah|-|'Cause girls like you run 'round with guys like me|-|'Til sun down when I come through|-|I need a girl like you, yeah yeah|-|Girls like you love fun and, yeah, me too|-|What I want when I come through|-|I need a girl like you, yeah yeah|-|Yeah yeah yeah, yeah yeah yeah|-|I need a girl like you, yeah yeah|-|Yeah yeah yeah, yeah yeah yeah|-|I need a girl like you"
40,Give A Little More,"Now you've been bad, and it goes on and on and on|-|'Til you come home babe, 'til you come home|-|Now you taste best|-|the poison I've learned to love has gone|-|I'm all alone baby, I'm all alone,|-|I'm waiting for something, always waiting|-|Feeling nothing, wondering if it'll ever change|-|And then I give a little more, ooh babe|-|Give a little more, ooh babe|-|I'm not falling in love with ya, I'm not falling in love|-|I'm not falling in love with ya, I'm not falling in love|-|'Til I get a little more from you baby|-|Get a little more from you babe|-|You were wrong for turning me on and on and on|-|And on and on|-|You make it so hard|-|I'm waiting for something, always waiting|-|Feeling nothing, wondering if it'll ever change|-|And then I give a little more, ooh babe|-|Give a little more, ooh babe|-|I'm not falling in love with ya, I'm not falling in love|-|I'm not falling in love with ya, I'm not falling in love|-|'Til I get a little more from you baby|-|Get a little more from you baby|-|I have no defense|-|I know you're gonna get me in the end|-|(gonna get me in the end)|-|And I cannot pretend|-|I ever want to feel this way again|-|I'm not falling in love with ya, I'm not falling in love|-|I'm not falling in love with ya, I'm not falling in love|-|Till I get a little more from you baby|-|Get a little more from you babe|-|I'm not falling in love with ya, I'm not falling in love|-|I'm not falling in love with ya, I'm not falling in love|-|Till I get a little more from you baby|-|Get a little more from you baby"
42,Goodnight Goodnight,"You left me hanging from a thread we once swung from together|-|I licked my wounds but I can never see them getting better|-|Something's gotta change,|-|Things cannot stay the same|-|Her hair was pressed against her face|-|Her eyes were red with anger|-|Enraged by things unsaid and empty beds and bad behaviour|-|Something's gotta change|-|It must be rearranged|-|Ooohh|-|I'm sorry|-|I did not mean to hurt my little girl|-|It's beyond me|-|I cannot carry the weight of the heavy world|-|So goodnight, goodnight, goodnight, goodnight|-|Goodnight, goodnight, goodnight, goodnight|-|Goodnight|-|Hope that things work out all right, yeah|-|Ooohh|-|The room was silent as we all tried so hard to remember|-|The way it feels to be alive|-|The day that he first met her|-|Something's gotta change|-|Things cannot stay the same|-|You make me think of someone wonderful|-|but I can't place her|-|I wake up every morning wishing one more time to face her|-|Something's gotta change|-|It must be rearranged, Oooh|-|I'm sorry|-|I did not mean to hurt my little girl|-|It's beyond me|-|I cannot carry the weight of a heavy world|-|So goodnight, goodnight, goodnight, goodnight|-|Goodnight, goodnight, goodnight, goodnight|-|Goodnight|-|Hope that things work out all right|-|So much to love|-|So much to learn|-|But I won't be there to teach you|-|I know I can be close|-|But I try my best to reach you|-|I'm so sorry|-|I did not mean to hurt my little girl|-|It's beyond me|-|I cannot carry the weight of a heavy world|-|So goodnight, goodnight, goodnight, goodnight|-|Goodnight, goodnight, goodnight, goodnight|-|Goodnight, goodnight, goodnight, goodnight|-|Goodnight|-|Hope that things work out all right"
43,Gotten,"So nice to see your face again|-|tell me how long has it been|-|since you've been here?|-|(since you've been here?)|-|You look so different than before|-|but still the person I adore|-|Frozen with fear|-|I'm out of love, but I'll take it from the past|-|I'm out of words cause I'm sure it'll never last|-|And I've been saving|-|these last words for|-|one last miracle but|-|now I'm not sure|-|And I can't save you if|-|you don't let me|-|you just get me|-|like I've never|-|been gotten before|-|Oh, yeah,|-|maybe it's a bitter wind|-|a chill from the Pacific rim|-|that brought you this way|-|(brought you my way)|-|You do not make me think of him|-|the way he touched your fragile skin|-|that haunts me everyday|-|I'm out of love but I can't forget the past|-|I'm out of words but I'm sure it'll never last|-|And I've been saving|-|these last words for|-|one last miracle but|-|now I'm not sure|-|And I can't save you if|-|you don't let me|-|you just get me|-|like I've never|-|been gotten before|-|like I've never|-|been gotten before|-|(Slash guitar solo)|-|So nice to see your face again|-|but tell me, will this ever end?|-|Don't dissapear|-|I've been saving|-|these last words for|-|one last miracle but|-|now I'm not sure|-|I can't save you if|-|you don't let me|-|you just get me|-|like I've never|-|been gotten before|-|Yeah, yeah, yeah|-|like I've never|-|been gotten|-|before"
44,Hands All Over,"Put your hands all over|-|Put your hands all over me|-|Put your hands all over|-|Put your hands all over me|-|I can't seem to find the pretty little face I left behind|-|Wandered out on the open road|-|Looking for a better place to call home Gave her a place to stay|-|But she got up and ran away|-|And now I've had enough|-|That pretty little face has torn me up|-|Put your hands all over me|-|Please talk to me, talk to me|-|Tell me everything is gonna be alright|-|Put your hands all over me|-|Please walk with me, walk with me (now) Love is a game, you say|-|Play me and put me away|-|Put your hands all over me|-|Now you've lost your mind, pretty little girl I left behind|-|I'm not yours, getting rub|-|but everybody knows you're not that tough|-|Wandered out on the open road|-|Looking for a place to call your own You're scared to death of the road ahead You pretty little thing, don't get upset|-|Put your hands all over me|-|Please talk to me, talk to me|-|Tell me everything is gonna be alright|-|Put your hands all over me|-|Please walk with me, walk with me (now) Love is a game, you say|-|Play me and put me away|-|Love is a game, you say|-|Play me and put me away|-|Put your hands all over me|-|So come down off your cloud|-|Say it now and say it loud|-|Get up in my face|-|Pretty little girl, come make my day|-|Put your hands all over me|-|Please talk to me, talk to me|-|Put your hands all over me|-|Gotta walk with me, walk with me (now) Put your hands all over me|-|Gotta talk to me, talk to me|-|Put your hands all over me|-|Gotta walk with me, walk with me (now) Love is a game, you say|-|Play me and put me away|-|Put your hands all over|-|Put your hands all over me"
45,Happy Christmas (war Is Over),So this is Xmas|-|And what have you done|-|Another year over|-|And a new one just begun|-|And so this is Xmas|-|I hope you have fun|-|The near and the dear ones|-|The old and the young|-|A very Merry Xmas|-|And a Happy New Year|-|Let's hope it's a good one|-|Without any fear|-|And so this is Xmas|-|For weak and for strong|-|The rich and the poor ones|-|The world is so wrong|-|And so Happy Xmas|-|For black and for white|-|For yellow and red ones|-|Let's stop all the fight|-|A very Merry Xmas|-|And a Happy New Year|-|Let's hope it's a good one|-|Without any fear|-|And so this is Xmas|-|And what have we done|-|Another year over|-|A new one just begun|-|And so Happy Xmas|-|We hope you have fun|-|The near and the dear ones|-|The old and the young|-|A very Merry Xmas|-|And a Happy New Year|-|Let's hope it's a good one|-|Without any fear|-|War is over|-|If you want it|-|War is over now
46,Harder to Breathe,"How dare you say that my behavior's unacceptable|-|So condescending, unnecessarily critical|-|I have the tendency of getting very physical|-|So watch your step cause if I do you'll need a miracle|-|You drain me dry and make me wonder why I'm even here|-|This double vision I was seeing is finally clear|-|You want to stay but you know very well I want you gone|-|Not fit to ' tread the ground that I am walking on|-|When it gets cold outside and you got nobody to love|-|You'll understand what I mean when I say|-|There's no way we're gonna give up|-|And like a little girl cries in the face of a monster that lives in her dreams|-|Is there anyone out there 'cause it's getting harder and harder to breathe|-|Is there anyone out there 'cause it's getting harder and harder to breathe|-|What you are doing is screwing things up inside my head|-|You should know better you never listened to a word I said|-|Clutching your pillow and writhing in a naked sweat|-|Hoping somebody someday will do you like I did|-|When it gets cold outside and you got nobody to love|-|You'll understand what I mean when I say|-|There's no way we're gonna give up|-|And like a little girl cries in the face of a monster that lives in her dreams|-|Is there anyone out there 'cause it's getting harder and harder to breathe|-|Is there anyone out there 'cause it's getting harder and harder to breathe|-|Does it kill|-|Does it burn|-|Is it painful to learn|-|That it's me that has all the control|-|Does it thrill|-|Does it sting|-|When you feel what I bring|-|And you wish that you had me to hold|-|When it gets cold outside and you got nobody to love|-|You'll understand what I mean when I say|-|There's no way we're gonna give up|-|And like a little girl cries in the face of a monster that lives in her dreams|-|Is there anyone out there 'cause it's getting harder and harder to breathe|-|Is there anyone out there 'cause it's getting harder and harder to breathe|-|Is there anyone out there 'cause it's getting harder and harder to breathe"
47,Harder To Breathe (Demo),"How dare you say that my behavior's unacceptable?|-|So condescending, unnecessarily critical|-|I have the tendency of getting very physical|-|So watch your step, 'cause if I do you'll need a miracle|-|You drain me dry and make me wonder why I'm even here|-|This double vision I was seein' is finally clear|-|You want to stay, but you know very well I want you gone|-|Not fit to fuckin' tread the ground that I am walkin' on|-|When it gets cold outside and you got nobody to love|-|You'll understand what I mean when I say there's no way we're gonna give up (Yeah, yeah, yeah)|-|And like a little girl cries in the face of a monster that lives in her dreams|-|Is there anyone out there?|-|'Cause it's gettin' harder and harder to breathe|-|Is there anyone out there?|-|'Cause it's gettin' harder and harder to breathe|-|What you are doing is screwing things up inside my head|-|You should know better, you never listened to a word I said|-|Clutchin' your pillow and writhin' in a naked sweat|-|Hoping somebody someday will do you like I did|-|And when it gets cold outside and you got nobody to love|-|You'll understand what I mean when I say there's no way we're gonna give up (Yeah, yeah, yeah)|-|And like a little girl cries in the face of a monster that lives in her dreams|-|Say, is there anyone out there?|-|'Cause it's gettin' harder and harder to breathe|-|Is there anyone out there?|-|'Cause it's gettin' harder and harder to breathe|-|Does it kill? Does it burn?|-|Is it painful to learn that it's me that has all the control?|-|Does it thrill? Does it sting?|-|When you feel what I bring and you wish that you had me to hold|-|When it gets cold outside and you got nobody to love|-|You'll understand what I mean when I say there's no way we're gonna give up (Yeah, yeah, yeah)|-|And like a little girl cries in the face of a monster that lives in her dreams|-|Say, is there anyone out there?|-|'Cause it's gettin' harder and harder to breathe|-|Is there anyone out there?|-|'Cause it's gettin' harder and harder to breathe|-|Is there anyone out there?|-|'Cause it's gettin' harder and harder to breathe"
48,Heart and Soul,"Never, never was|-|between you and I, baby|-|only my boring present|-|looking for your past|-|to love it.|-|I broke my own rules|-|of a game|-|that i did not know how to play|-|just to turn on a smile in your face.|-|Never, never was|-|between you and I, honey|-|was just only my sad heart|-|beating without choice|-|with your voice.|-|I broke my own rules|-|of a game|-|that i did not know how to play|-|just to hear you say:|-|I'm happy.|-|Never, never was|-|between you and I, dear|-|was just only my fear|-|when it seemed you had lost|-|your grey suit of innocence."
49,Hello,"I don't feel as if I know you|-|You take up all my time|-|The days are long and the nights will throw you away|-|'Cause the sun don't shine|-|Nobody ever mentions the weather can make or break your day|-|Nobody ever seems to remember life is a game we play|-|We live in the shadows and we had the chance and threw it away|-|And it's never gonna be the same|-|Cos the years are falling by like the rain|-|And it's never gonna be the same|-|'Til the life I knew comes to my house and says|-|Hello!|-|There ain't no sense in feeling lonely|-|They got no faith in you|-|But I've got a feeling you still owe me|-|So wipe the shit from your shoes|-|Nobody ever mentions the weather can make or break your day|-|Nobody ever seems to remember life is a game we play|-|We live in the shadows and we had the chance and threw it away|-|And it's never gonna be the same|-|Cos the years are falling by like the rain|-|And it's never gonna be the same|-|'Til the life I knew comes to my house and says|-|Hello!|-|Hello! Says it's good to be back, good to be back!|-|Hello!|-|Hello! Says it's good to be back, good to be back!|-|Hello!|-|Hello! Says it's good to be back, good to be back!|-|Hello!|-|Hello!|-|Hello!"
50,Help Me Out,"I'm getting kind of over this|-|I need a metamorphosis|-|Are you awake as me?|-|If not, do you wanna be?|-|Ooh I need some temporary saving|-|Ooh I need some, some uncomplicating|-|Help me out|-|'Cause I don't wanna do this on my own|-|Help me out, out|-|Help me out|-|'Cause I need something up to calm me down|-|Help me out, out|-|I don't mean to bother you|-|But there's something that I want from you|-|Distract me from thinking too much|-|Loose ends all tied up with a touch|-|Ooh I need some temporary saving|-|Ooh I need some, some uncomplicating|-|Help me out|-|'Cause I don't wanna do this on my own|-|Help me out, out|-|Help me out|-|'Cause I need something up to calm me down|-|Help me out, out|-|Hey hey, I know that there will come a day|-|When you, you need somebody to|-|Hey hey, I know that there will come a day when|-|When you, you need somebody to|-|Help you out|-|Help me out|-|Help me out|-|Help me out, out|-|Help me out|-|'Cause I don't wanna do this on my own|-|Help me out, out|-|Help me out|-|'Cause I need something up to calm me down|-|Help me out, out|-|And hey hey, I know that there will come a day|-|When you, you need somebody to|-|Hey hey, I know that there will come a day when|-|When you, you need somebody to|-|Help you out|-|Help me out|-|Help me out|-|Help me out, out"
52,Hold on,"Hold on, Hold on! We're on our way x2|-|I'm not falling apart!|-|Hold on, Hold on we're on our way x2|-|I'm not falling apart!|-|I don't mind falling in the waters, no-one ever notices me, now play under the waves x2|-|Instumental|-|Hold on hold we're on our way x2|-|I'm not falling apart [not falling apart x4]"
53,How,"Ohhh|-|I have been searching for your touch|-|Unlike any touch I've ever known|-|And I never thought about you much|-|Til I'm broken down and all alone, ohhh|-|Though I don't understand the meaning of love|-|I do not mind if I die trying, ohhh|-|Took it for granted when you lifted me up|-|I'm asking for your help|-|I am going through hell|-|Afraid nothing can save me but the sound of your voice|-|You cut out all the noise|-|And now that I can see mistakes so clearly now|-|I'd kill if I could take you back|-|But how?|-|But how?|-|I can feel it in my guts|-|What's going on with him now|-|And don't patronise me with lies|-|I'm a man, be a woman now, ohhh|-|I have been bound by the shackles of love|-|And I don't mind if I die tied up, ohhh|-|Took it for granted when you lifted me up|-|I'm asking for your help|-|I am going through hell|-|Afraid nothing can save me but the sound of your voice|-|You cut out all the noise|-|And now that I can see mistakes so clearly now|-|I'd kill if I could take you back|-|But how?|-|But how?|-|But how?|-|But how?|-|Ohh yeah|-|Why must we be so ugly|-|And please do not think hell of me|-|Why does the one you love|-|Become the one who makes you want to cry|-|Why?|-|Why?|-|Why?|-|(And how?|-|How?)|-|But I don't understand the meaning of love|-|I do not mind if I die trying|-|I do not mind if I die trying|-|I do not mind if I die trying"
54,I Can't Lie,"I must have been a fool|-|to love you so hard for so long|-|So much stronger than before|-|But so much harder to move on|-|And now the bitter chill of the winter|-|Still blows through me like a plague|-|Only to wake up with an empty bed|-|On a perfect summer day|-|uh uh uuuh|-|My world just feels so cold|-|And you find yourself|-|Walking down the wrong side of the road|-|I can't lie, you're on my mind|-|Stuck inside my head|-|I wanna feel your heart beat for me instead|-|yeah|-|I just die so much inside|-|Now that you're not there|-|I wanna feel your heartbeat like|-|yesterday|-|I never did my best to|-|Express how I really felt|-|And now that I know exactly what I want|-|You found somebody else|-|aauh|-|My world just feels so cold|-|And you find yourself|-|Walking on the wrong side of the road|-|I can't lie, you're on my mind|-|Stuck inside my head|-|I wanna feel your heart beat for me instead|-|yeah|-|I just die so much inside|-|Now that you're not there|-|I wanna feel your heart beat like yesterday|-|uuuuh|-|My world just feels so cold|-|And I find myself|-|Thinking about the things I could have done|-|And it warms my soul|-|When you let me know|-|I'm not the only one|-|I can't lie, you're on my mind|-|Stuck inside my head|-|I wanna feel your heart beat for|-|me instead|-|yeah|-|I just die so much inside|-|Now that you're not there|-|I wanna feel your heart beat like yesterday...|-|I can't lie, you're on my mind|-|Stuck inside my head|-|I wanna feel your heart beat for|-|me instead|-|yeah|-|I just die so much inside|-|Now that you're not there|-|I wanna feel your heart beat like yesterday...|-|I can't lie you're on my mind|-|Stuck inside my head|-|I wanna feel your heart beat for|-|me instead|-|yeah|-|I just die so much inside|-|Now that you're not there|-|I wanna feel your heart beat like yesterday..."
55,I Can't Lie,"I must have been a fool|-|to love you so hard for so long|-|So much stronger than before|-|But so much harder to move on|-|And now the bitter chill of the winter|-|Still blows through me like a plague|-|Only to wake up with an empty bed|-|On a perfect summer day|-|uh uh uuuh|-|My world just feels so cold|-|And you find yourself|-|Walking down the wrong side of the road|-|I can't lie, you're on my mind|-|Stuck inside my head|-|I wanna feel your heart beat for me instead|-|yeah|-|I just die so much inside|-|Now that you're not there|-|I wanna feel your heartbeat like|-|yesterday|-|I never did my best to|-|Express how I really felt|-|And now that I know exactly what I want|-|You found somebody else|-|aauh|-|My world just feels so cold|-|And you find yourself|-|Walking on the wrong side of the road|-|I can't lie, you're on my mind|-|Stuck inside my head|-|I wanna feel your heart beat for me instead|-|yeah|-|I just die so much inside|-|Now that you're not there|-|I wanna feel your heart beat like yesterday|-|uuuuh|-|My world just feels so cold|-|And I find myself|-|Thinking about the things I could have done|-|And it warms my soul|-|When you let me know|-|I'm not the only one|-|I can't lie, you're on my mind|-|Stuck inside my head|-|I wanna feel your heart beat for|-|me instead|-|yeah|-|I just die so much inside|-|Now that you're not there|-|I wanna feel your heart beat like yesterday...|-|I can't lie, you're on my mind|-|Stuck inside my head|-|I wanna feel your heart beat for|-|me instead|-|yeah|-|I just die so much inside|-|Now that you're not there|-|I wanna feel your heart beat like yesterday...|-|I can't lie you're on my mind|-|Stuck inside my head|-|I wanna feel your heart beat for|-|me instead|-|yeah|-|I just die so much inside|-|Now that you're not there|-|I wanna feel your heart beat like yesterday..."
56,I Shall Be Released,"They say, ev'rything can be replaced|-|Yet ev'ry distance is not near|-|So I remember ev'ry face|-|Of ev'ry man who put me here|-|I see my light come shining|-|From the west unto the east|-|Any day now, any day now|-|I shall be released|-|They say, ev'ry man needs protection|-|They say, ev'ry man must fall|-|Yet I swear, I see my reflection|-|Some place so high above this wall|-|I see my light come shining|-|From the west unto the east|-|Any day now, any day now|-|I shall be released|-|Standing next to me in this lonely crowd|-|Is a man who swears he's not to blame|-|All day long I hear him shout so loud|-|Crying out that he was framed|-|I see my light come shining|-|From the west unto the east|-|Any day now, any day now|-|I shall be released"
57,I Won't Go Home Without You,"I asked her to stay|-|But she wouldn't listen|-|She left before I had the chance to say, oh|-|The words that will mend|-|the things that were broken|-|And now it's far too late, she's gone away|-|Every night you cry yourself to sleep|-|thinking ""why does this happen to me?""|-|""Why does every moment have to be so hard?""|-|Hard to believe it|-|It's not over, tonight|-|Just give me one more chance to make it right|-|I may not make it through the night|-|I won't go home without you|-|The taste of her breath, I'll never get over|-|The noises that she made kept me awake, ohh|-|The weight of the things that remain unspoken|-|Built up so much, it crushed us every day|-|Every night you cry yourself to sleep|-|thinking ""why does this happen to me?""|-|""Why does every moment have to be so hard?""|-|Hard to believe it|-|It's not over, tonight|-|Just give me one more chance to make it right|-|I may not make it through the night|-|I won't go home without you|-|ooohh...|-|It's not over tonight|-|Just give me one more chance to make it right|-|I may not make it through the night|-|I won't go home without you|-|ooohh...|-|Of all the things I've felt I've never really showed|-|Perhaps the worst is that I never let you go|-|I should not ever let you go|-|It's not over tonight|-|Just give me one more chance to make it right|-|I may not make it through the night|-|I won't go home without you|-|ooohh...|-|It's not over tonight|-|Just give me one more chance to make it right|-|I may not make it through the night|-|I won't go home without you|-|And I won't go home without you|-|And I won't go home without you|-|And I won't go home without you"
58,If I Ain't Got You,"Yeah... oh|-|Some people live for the fortune|-|Some people live for the fame|-|Some people live for the power, yeah|-|Some people live just to play the game|-|Some people think that the physical things define what's within|-|And I have been there before and that life's a bore|-|So full of the superficial|-|Some people want it all|-|But I don't want nothing at all|-|If it ain't you baby|-|If I ain't got you baby|-|Some people want diamond rings|-|Some just want everything|-|But everything means nothing|-|If I ain't got you|-|Some people search for a fountain|-|That promises forever young|-|Some people need three dozen roses|-|And that's the only way to prove you love them, oh|-|Hand me the world on a silver platter|-|And what good would it be, oh|-|With no one to share, with no one who truly cares for me?|-|Some people want it all|-|But I don't want nothing at all|-|If it ain't you baby|-|If I ain't got you baby|-|Some people want diamond rings|-|Some just want everything|-|But everything means nothing|-|If I ain't got you-you-you|-|Some people want it all|-|But I don't want nothing at all|-|If it ain't you baby|-|If I ain't got you baby|-|Some people want diamond rings|-|Some just want everything|-|But everything means nothing|-|If I ain't got you|-|If I ain't got you with me baby|-|There ain't nothing in this whole wide world, doesn't mean a thing|-|If I ain't got you with me baby"
59,If I Ain't Got You (live),"Yeah... oh|-|Some people live for the fortune|-|Some people live for the fame|-|Some people live for the power, yeah|-|Some people live just to play the game|-|Some people think that the physical things define what's within|-|And I have been there before and that life's a bore|-|So full of the superficial|-|Some people want it all|-|But I don't want nothing at all|-|If it ain't you baby|-|If I ain't got you baby|-|Some people want diamond rings|-|Some just want everything|-|But everything means nothing|-|If I ain't got you|-|Some people search for a fountain|-|That promises forever young|-|Some people need three dozen roses|-|And that's the only way to prove you love them, oh|-|Hand me the world on a silver platter|-|And what good would it be, oh|-|With no one to share, with no one who truly cares for me?|-|Some people want it all|-|But I don't want nothing at all|-|If it ain't you baby|-|If I ain't got you baby|-|Some people want diamond rings|-|Some just want everything|-|But everything means nothing|-|If I ain't got you-you-you|-|Some people want it all|-|But I don't want nothing at all|-|If it ain't you baby|-|If I ain't got you baby|-|Some people want diamond rings|-|Some just want everything|-|But everything means nothing|-|If I ain't got you|-|If I ain't got you with me baby|-|There ain't nothing in this whole wide world, doesn't mean a thing|-|If I ain't got you with me baby"
60,If I Fell In Love With You,"If I fell in love with you|-|Would you promise to be true|-|And help me understand|-|'Cause I've been in love before|-|And I found that love was more|-|Than just holding hands|-|If I give my heart to you|-|I must be sure from the very start|-|That you would love me more than her|-|If I trust in you|-|Oh no please, don't run and hide|-|If I love you too|-|Oh please, don't hurt my pride like her|-|'Cause I couldn't stand the pain|-|And I would be sad|-|If our new love was in vain|-|So I hope you see love that|-|I would love to love you|-|And that she will cry|-|When she learns we are two|-|'Cause I couldn't stand the pain|-|And I would be sad|-|If our new love was in vain|-|So I hope you'll see that|-|I would love to love you|-|And that she will cry|-|When she learns we are two|-|If I fell in love with you, yeah|-|No no no no no"
61,If I Never See Your Face Again,"Now as the summer fades I let you slip away|-|You say I'm not your type but I can make you sway|-|It makes you burn to learn you're not the only one|-|I'd let you be if you put down your blazing gun|-|Now you've gone somewhere else far away|-|I don't know if I will find you|-|But you feel my breath on your neck|-|Can't believe I'm right behind you|-|'Cause you keep me coming back for more|-|And I feel a little better than I did before|-|If I never see your face again, I don't mind|-|'Cause we've gone much further|-|than I thought we'd get tonight|-|Sometimes you move so well, it's hard not to give in|-|I'm lost, I can't tell where you end and I begin|-|It makes me burn to learn you're with another man|-|I wonder if he's half the lover that I am|-|Now you've gone somewhere else far away|-|I don't know if I will find you|-|But you feel my breath on your neck|-|Can't believe I'm right behind you|-|'Cause you keep me coming back for more|-|And I feel a little better than I did before|-|If I never see your face again, I don't mind|-|'Cause we've gone much further|-|than I thought we'd get tonight|-|Baby, baby, please believe me|-|Find it in your heart to reach me|-|Promise not to leave me behind|-|Take me down but take it easy|-|Make me think but don't deceive me|-|Torture me by taking your time|-|'Cause you keep me coming back for more|-|And I feel a little better than I did before|-|If I never see your face again, I don't mind|-|'Cause we've gone much further|-|than I thought we'd get tonight|-|You keep me coming back for more|-|And I feel a little better than I did before|-|If I never see your face again, I don't mind|-|'Cause we've gone much further|-|than I thought we'd get tonight"
